LOCATION,SUBJECT,MEASURE,FREQUENCY,TIME,Value
ITA,TOT,USD,A,2010,39051.10534
ITA,TOT,USD,A,2011,38438.74635
ITA,TOT,USD,A,2012,37279.12066
ITA,TOT,USD,A,2013,37338.27385
ITA,TOT,USD,A,2014,37481.9106
ITA,TOT,USD,A,2015,37793.07676
ITA,TOT,USD,A,2016,38059.94919
ITA,TOT,USD,A,2017,37696.6486
ITA,TOT,USD,A,2018,37751.93464
JPN,TOT,USD,A,1990,38726.44338
JPN,TOT,USD,A,1991,39240.72235
JPN,TOT,USD,A,1992,39360.86147
JPN,TOT,USD,A,1993,38987.64466
JPN,TOT,USD,A,1994,39383.15457
JPN,TOT,USD,A,1995,39851.40726
JPN,TOT,USD,A,1996,40050.55149
JPN,TOT,USD,A,1997,40406.91661
JPN,TOT,USD,A,1998,40289.93602
JPN,TOT,USD,A,1999,40240.97568
JPN,TOT,USD,A,2000,40467.68554
JPN,TOT,USD,A,2001,39960.97308
JPN,TOT,USD,A,2002,39150.52085
JPN,TOT,USD,A,2003,39186.70023
JPN,TOT,USD,A,2004,39489.77117
JPN,TOT,USD,A,2005,40173.19049
JPN,TOT,USD,A,2006,39933.0052
JPN,TOT,USD,A,2007,39872.60919
JPN,TOT,USD,A,2008,39847.98717
JPN,TOT,USD,A,2009,39470.26526
JPN,TOT,USD,A,2010,40175.19119
JPN,TOT,USD,A,2011,41082.06978
JPN,TOT,USD,A,2012,40380.39328
JPN,TOT,USD,A,2013,40352.78811
JPN,TOT,USD,A,2014,39633.25194
JPN,TOT,USD,A,2015,39591.57293
JPN,TOT,USD,A,2016,40304.55493
JPN,TOT,USD,A,2017,40510.00917
JPN,TOT,USD,A,2018,40573.37765
KOR,TOT,USD,A,1990,22141.42557
KOR,TOT,USD,A,1991,23066.86141
KOR,TOT,USD,A,1992,23980.84666
KOR,TOT,USD,A,1993,25308.36328
KOR,TOT,USD,A,1994,25751.36138
KOR,TOT,USD,A,1995,28234.68437
KOR,TOT,USD,A,1996,29537.92063
KOR,TOT,USD,A,1997,28911.43387
KOR,TOT,USD,A,1998,28535.56245
KOR,TOT,USD,A,1999,28673.17267
KOR,TOT,USD,A,2000,29081.61539
KOR,TOT,USD,A,2001,29667.3009
KOR,TOT,USD,A,2002,30700.38387
KOR,TOT,USD,A,2003,31791.73083
KOR,TOT,USD,A,2004,32706.84627
KOR,TOT,USD,A,2005,33648.06616
KOR,TOT,USD,A,2006,33988.40175
KOR,TOT,USD,A,2007,34583.1133
KOR,TOT,USD,A,2008,34272.21251
KOR,TOT,USD,A,2009,34361.81034
KOR,TOT,USD,A,2010,34955.58457
KOR,TOT,USD,A,2011,35294.64837
KOR,TOT,USD,A,2012,34864.20309
KOR,TOT,USD,A,2013,35528.79125
KOR,TOT,USD,A,2014,35321.09682
KOR,TOT,USD,A,2015,35949.11416
KOR,TOT,USD,A,2016,37165.05484
KOR,TOT,USD,A,2017,37849.39327
KOR,TOT,USD,A,2018,39471.71192
LUX,TOT,USD,A,1990,46151.5401
